error rate : 0.200000
./client: sending data to '127.0.0.1:2310' 
1, Nbytes: -1, ACK: 0
1, Nbytes: -1, ACK: 1
1, Nbytes: -1, ACK: 2
1, Nbytes: -1, ACK: 3
1, Nbytes: -1, ACK: 4
1, Nbytes: -1, ACK: 5
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 6
1, Nbytes: -1, ACK: 7
1, Nbytes: -1, ACK: 8
1, Nbytes: -1, ACK: 9
1, Nbytes: -1, ACK: 10
1, Nbytes: -1, ACK: 12
1, Nbytes: -1, ACK: 13
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
1, Nbytes: -1, ACK: 14
